date,close,volume
2015-01-02,169.68788146972656,121465900
2015-01-05,166.62335205078125,169632600
2015-01-06,165.053955078125,209151400
2015-01-07,167.11070251464844,125346700
2015-01-08,170.0760498046875,147217800
2015-01-09,168.7131805419922,158567300
2015-01-12,167.39151000976562,144396100
2015-01-13,166.9207305908203,214553300
2015-01-14,165.91294860839844,192991100
2015-01-15,164.3931121826172,176613900
2015-01-16,166.5489959716797,211879600
2015-01-20,166.90419006347656,130991100
2015-01-21,167.7467041015625,122942700
2015-01-22,170.24127197265625,174356000
2015-01-23,169.30784606933594,117516800
2015-01-26,169.7043914794922,92009700
2015-01-27,167.46583557128906,134044600
2015-01-28,165.3182373046875,168514300
2015-01-29,166.84637451171875,173585400
2015-01-30,164.74830627441406,197729700
2015-02-02,166.78854370117188,163107000
2015-02-03,169.20050048828125,124212900
2015-02-04,168.55625915527344,134306700
2015-02-05,170.2578125,97953200
2015-02-06,169.78697204589844,125672000
2015-02-09,169.02696228027344,87219000
2015-02-10,170.8278045654297,96164200
2015-02-11,170.9268798828125,91087800
2015-02-12,172.57064819335938,97545900
2015-02-13,173.2810516357422,93670400
2015-02-17,173.55360412597656,76968200
2015-02-18,173.5701141357422,80652900
2015-02-19,173.44622802734375,91462500
2015-02-20,174.48699951171875,140896400
2015-02-23,174.46221923828125,74411100
2015-02-24,174.95779418945312,72472300
2015-02-25,174.80909729003906,73061700
2015-02-26,174.6026153564453,72697900
2015-02-27,174.00791931152344,108076000
2015-03-02,175.1064910888672,87491400
2015-03-03,174.38787841796875,110325800
2015-03-04,173.65272521972656,114497200
2015-03-05,173.84266662597656,76873000
2015-03-06,171.3976593017578,188128000
2015-03-09,172.1080780029297,89818900
2015-03-10,169.31613159179688,157121300
2015-03-11,168.91961669921875,110145700
2015-03-12,171.06727600097656,93993500
2015-03-13,170.0182647705078,162410900
2015-03-16,172.28981018066406,136099200
2015-03-17,171.7776641845703,94510400
2015-03-18,173.84266662597656,228808500
2015-03-19,173.0497283935547,117917300
2015-03-20,174.57720947265625,177715100
2015-03-23,174.23699951171875,71784500
2015-03-24,173.25804138183594,77805300
2015-03-25,170.71908569335938,159521700
2015-03-26,170.3125457763672,153067200
